Bracket Type=4
Sample Type,File Name,Sample ID,Path,Instrument Method,Process Method,Position,Inj Vol,Level,Sample Wt,Sample Vol,ISTD Amt,Dil Factor,L1 Study,L2 Client,L3 Laboratory,L4 Company,L5 Phone,Comment,Sample Name,Calibration File,
Unknown,QC_1,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,R:A1,2.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,QC_2,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,R:A1,2.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,Blank_MeOH20_extraction,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:C3,5.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,Blank_MeOH50_dissolve,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:C4,5.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,Medium_Blank,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:C5,5.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,1__Sel_WT1_ex,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:A1,5.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,2__Sel_WT2_ex,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:A2,5.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,3__Sel_WT3_ex,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:A3,5.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,4__Sel_WT4_ex,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:A4,5.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,5__Sel_WT5_ex,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:A5,5.000,,0.000,0.000,0.000,1.000,,,,,,,,,
