sample,level,type,msfile
1__Sel_WT1_ex10,MS12,delta,data/mSV000092427/mzml_10micro/1__Sel_WT1_ex10.mzML
2__Sel_WT2_ex10,MS12,delta,data/mSV000092427/mzml_10micro/2__Sel_WT2_ex10.mzML
3__Sel_WT3_ex10,MS12,delta,data/mSV000092427/mzml_10micro/3__Sel_WT3_ex10.mzML
4__Sel_WT4_ex10,MS12,delta,data/mSV000092427/mzml_10micro/4__Sel_WT4_ex10.mzML
5__Sel_WT5_ex10,MS12,delta,data/mSV000092427/mzml_10micro/5__Sel_WT5_ex10.mzML
11__Sel_WT1_stat10,MS12,delta,data/mSV000092427/mzml_10micro/11__Sel_WT1_stat10.mzML
12__Sel_WT2_stat10,MS12,delta,data/mSV000092427/mzml_10micro/12__Sel_WT2_stat10.mzML
13__Sel_WT3_stat10,MS12,delta,data/mSV000092427/mzml_10micro/13__Sel_WT3_stat10.mzML
14__Sel_WT4_stat10,MS12,delta,data/mSV000092427/mzml_10micro/14__Sel_WT4_stat10.mzML
15__Sel_WT5_stat10,MS12,delta,data/mSV000092427/mzml_10micro/15__Sel_WT5_stat10.mzML
6__Sel_delta1_ex10,MS12,delta,data/mSV000092427/mzml_10micro/6__Sel_delta1_ex10.mzML
7__Sel_delta2_ex10,MS12,delta,data/mSV000092427/mzml_10micro/7__Sel_delta2_ex10.mzML
8__Sel_delta3_ex10,MS12,delta,data/mSV000092427/mzml_10micro/8__Sel_delta3_ex10.mzML
9__Sel_delta4_ex10,MS12,delta,data/mSV000092427/mzml_10micro/9__Sel_delta4_ex10.mzML
10__Sel_delta5_ex10,MS12,delta,data/mSV000092427/mzml_10micro/10__Sel_delta5_ex10.mzML
16__Sel_delta1_stat10,MS12,delta,data/mSV000092427/mzml_10micro/16__Sel_delta1_stat10.mzML
17__Sel_delta2_stat10,MS12,delta,data/mSV000092427/mzml_10micro/17__Sel_delta2_stat10.mzML
18__Sel_delta3_stat10,MS12,delta,data/mSV000092427/mzml_10micro/18__Sel_delta3_stat10.mzML
19__Sel_delta4_stat10,MS12,delta,data/mSV000092427/mzml_10micro/19__Sel_delta4_stat10.mzML
20__Sel_delta5_stat10,MS12,delta,data/mSV000092427/mzml_10micro/20__Sel_delta5_stat10.mzML
